Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene type	Gene name	Strand
ENSMUSG00000089395	1	32726639	32726930	misc_RNA	Gm23024	1
ENSMUSG00000089265	4	41203057	41203133	snoRNA	Gm22888	-1
ENSMUSG00000077645	7	59458815	59458883	snoRNA	Gm24983	-1
ENSMUSG00000077369	6	71039579	71039733	snRNA	Gm23485	-1
ENSMUSG00000064522	3	66088109	66088261	snRNA	Gm26442	-1
ENSMUSG00000064413	2	132717106	132717208	snRNA	Gm22245	1
ENSMUSG00000090408	3	67365461	67375163	protein_coding	Gm17402	-1
ENSMUSG00000065565	1	137966455	137966541	miRNA	Mir181a-1	1
ENSMUSG00000077417	4	48896499	48896623	snoRNA	Gm23746	1
ENSMUSG00000065053	4	31174909	31175012	snRNA	Gm25705	-1
ENSMUSG00000073179	12	20896239	20896638	pseudogene	Gm10478	-1
ENSMUSG00000094109	7	59764088	59764181	snoRNA	Gm22776	-1
ENSMUSG00000076252	3	127545228	127545301	miRNA	Mir302b	1
ENSMUSG00000093036	18	81992010	81992080	miRNA	Mir5127	-1
ENSMUSG00000088701	X	21716017	21716095	rRNA	Gm25553	1
ENSMUSG00000093116	13	98560354	98560461	miRNA	Gm22698	1
ENSMUSG00000064432	10	105040273	105040438	snRNA	Gm25587	1
ENSMUSG00000099270	6	52248332	52248535	misc_RNA	Gm27454	1
ENSMUSG00000095243	16	46018067	46018173	snRNA	Gm24754	-1
ENSMUSG00000084718	4	81918513	81918623	rRNA	n-R5s187	1
ENSMUSG00000084752	3	72737831	72737981	snRNA	Gm22451	-1
ENSMUSG00000090718	4	98745735	98745822	pseudogene	Gm17376	1
ENSMUSG00000098703	5	106879600	106879698	miRNA	Gm27527	-1
ENSMUSG00000104863	18	35557132	35557242	miRNA	Gm49347	1
ENSMUSG00000077271	4	3796447	3796583	snoRNA	Gm22781	-1
ENSMUSG00000077543	11	34842228	34842354	snoRNA	Gm22022	-1
ENSMUSG00000094404	Y	76378662	76379744	protein_coding	Gm21776	1
ENSMUSG00000064746	11	15412300	15412406	snRNA	Gm24707	1
ENSMUSG00000094381	7	17618170	17618279	miRNA	Gm25068	1
ENSMUSG00000093125	7	128478014	128478138	miRNA	Gm24365	-1
ENSMUSG00000088439	7	44239748	44240035	misc_RNA	Gm25386	1
ENSMUSG00000104997	13	23683535	23683672	miRNA	Gm44350	1
ENSMUSG00000092695	3	27584900	27584995	miRNA	Mir3092	-1
ENSMUSG00000099261	19	3288920	3288983	miRNA	Mir6984	1
ENSMUSG00000076219	12	109727333	109727414	miRNA	Mir487b	1
ENSMUSG00000099287	X	103605225	103605317	misc_RNA	Gm27987	1
ENSMUSG00000098665	16	41299734	41299896	misc_RNA	Gm27587	-1
ENSMUSG00000093106	13	93923187	93923311	miRNA	Gm25534	-1
ENSMUSG00000093273	11	106782693	106782759	miRNA	Mir3064	-1
ENSMUSG00000080631	11	24679568	24679711	miRNA	Gm25507	-1
ENSMUSG00000094303	JH584297.1	19740	22248	protein_coding	AC165294.1	-1
ENSMUSG00000076117	X	144297790	144297899	miRNA	Mir680-2	1
ENSMUSG00000065836	14	21812711	21812855	snRNA	Gm23502	1
ENSMUSG00000088043	2	67420031	67420162	snoRNA	Gm23328	1
ENSMUSG00000089224	11	72800287	72800478	misc_RNA	Gm22075	-1
ENSMUSG00000095747	17	5421464	5421565	miRNA	Gm22475	1
ENSMUSG00000093113	11	92024345	92024413	miRNA	Gm22702	-1
ENSMUSG00000095330	17	57741767	57742219	protein_coding	Gm21834	-1
ENSMUSG00000098745	15	82504596	82504655	miRNA	Gm27825	1
ENSMUSG00000065402	18	65248861	65248926	miRNA	Mir122	1
ENSMUSG00000077782	1	79513739	79513864	snoRNA	Gm24160	-1
ENSMUSG00000095505	JH584296.1	195181	197903	protein_coding	AC164084.1	-1
ENSMUSG00000094514	GL456211.1	226405	229375	protein_coding	AC133103.3	-1
ENSMUSG00000084544	5	66325740	66326062	misc_RNA	Gm23183	-1
ENSMUSG00000089286	4	57762607	57762710	snRNA	Gm24277	1
ENSMUSG00000088273	17	26223502	26223645	snoRNA	Gm23123	1
ENSMUSG00000099126	X	103623551	103623755	misc_RNA	Gm27321	1
ENSMUSG00000079433	9	85312773	85312860	protein_coding	Gm11114	1
ENSMUSG00000098396	5	100426736	100426804	misc_RNA	Gm27997	1
ENSMUSG00000065629	1	39519533	39519747	snoRNA	Gm24826	1
ENSMUSG00000094154	11	71233807	71233940	snoRNA	Gm23266	-1
ENSMUSG00000065602	X	151912346	151912428	miRNA	Mirlet7f-2	1
ENSMUSG00000088649	18	45941007	45941133	snoRNA	Gm26262	1
ENSMUSG00000093149	16	64918222	64918305	miRNA	Gm23374	-1
ENSMUSG00000095523	JH584299.1	837364	840451	protein_coding	AC124606.1	1
ENSMUSG00000073290	X	7909542	7909927	protein_coding	Gm10490	1
ENSMUSG00000064818	X	154711258	154711365	snRNA	Gm22359	1
ENSMUSG00000094384	6	123623932	123624063	snoRNA	Gm25065	1
ENSMUSG00000096076	7	61681515	61681594	miRNA	Gm23962	-1
ENSMUSG00000089294	4	139967526	139967620	miRNA	Mir2139	-1
ENSMUSG00000089552	4	54004057	54004187	snoRNA	Gm24177	1
ENSMUSG00000064428	X	163150391	163150497	snRNA	Gm22746	-1
ENSMUSG00000078604	3	107631322	107633090	protein_coding	Gm10961	1
ENSMUSG00000094717	9	109295542	109295648	snRNA	Gm22821	-1
ENSMUSG00000088076	9	9301391	9301452	snRNA	Gm22815	1
ENSMUSG00000098603	X	103595938	103596008	misc_RNA	Gm27798	1
ENSMUSG00000106563	15	101193869	101193931	miRNA	Mir6962	1
ENSMUSG00000095580	3	96359953	96360117	snRNA	Rnu1b1	-1
ENSMUSG00000099012	8	76619155	76619282	rRNA	Gm27355	-1
ENSMUSG00000074210	7	30321740	30323472	protein_coding	E130208F15Rik	1
ENSMUSG00000098513	4	138163209	138163292	miRNA	Mir6399	1
ENSMUSG00000106581	6	113707208	113707265	miRNA	Mir7042	1
ENSMUSG00000093262	16	4057373	4057497	miRNA	Gm23413	-1
ENSMUSG00000089050	10	27452289	27452360	snoRNA	Gm23353	1
ENSMUSG00000088978	10	26357947	26358046	rRNA	Gm23757	1
ENSMUSG00000105788	12	69159518	69159596	miRNA	Gm47295	1
ENSMUSG00000058360	3	68733137	68738077	pseudogene	Gm10040	1
ENSMUSG00000089170	14	56535971	56536077	misc_RNA	Gm22431	1
ENSMUSG00000065219	7	45127382	45127464	snoRNA	Snord32a	-1
ENSMUSG00000066809	9	25101404	25101481	processed_pseudogene	Gm10180	-1
ENSMUSG00000077772	7	59923034	59923122	snoRNA	Gm22373	-1
ENSMUSG00000096811	7	59452983	59453061	snoRNA	Gm25088	-1
ENSMUSG00000077980	12	109723218	109723301	miRNA	Mir654	1
ENSMUSG00000104627	1	86351981	86352127	miRNA	Mir3535	-1
ENSMUSG00000095742	JH584295.1	66	1479	protein_coding	CAAA01147332.1	-1
ENSMUSG00000089487	17	72499289	72499418	snRNA	Gm24736	-1
ENSMUSG00000098353	7	66381667	66381724	miRNA	Mir7057	-1
ENSMUSG00000077627	15	60703992	60704123	snoRNA	Gm23835	-1
ENSMUSG00000065298	11	72881792	72881953	snRNA	Gm26121	1
ENSMUSG00000095119	4	130775741	130775823	snoRNA	Gm23711	1
ENSMUSG00000087987	4	127284731	127284833	snRNA	Gm22221	-1
ENSMUSG00000098848	6	83710739	83710932	misc_RNA	Gm27893	1
ENSMUSG00000088712	5	92056064	92056192	scaRNA	Gm22728	-1
ENSMUSG00000098962	13	56699930	56700178	misc_RNA	Gm27698	1
ENSMUSG00000094229	7	46450413	46450519	snRNA	Gm22969	1
ENSMUSG00000088767	X	127408430	127408704	misc_RNA	Gm22636	1
ENSMUSG00000080536	6	148967316	148967437	snoRNA	Gm25539	1
ENSMUSG00000098258	13	58313044	58313149	miRNA	Mir6369	-1
ENSMUSG00000038555	18	34840589	34847463	protein_coding	Reep2	1
ENSMUSG00000089270	2	149566194	149566285	snoRNA	Gm24551	-1
ENSMUSG00000079773	GL456350.1	173252	174286	protein_coding	AC087559.2	-1
ENSMUSG00000098867	15	82641945	82642001	miRNA	Gm27463	-1
ENSMUSG00000088512	2	40298517	40298642	snoRNA	Gm24467	1
ENSMUSG00000092918	2	127040561	127040685	miRNA	Gm24081	1
ENSMUSG00000095772	9	88598348	88598419	snoRNA	Gm23017	-1
ENSMUSG00000088398	9	44395797	44395915	snoRNA	Gm26306	-1
ENSMUSG00000064834	3	35735373	35735477	snRNA	Gm25696	1
ENSMUSG00000077270	12	65566090	65566221	snoRNA	Gm22782	1
ENSMUSG00000077445	8	38982904	38983035	snoRNA	Gm23128	-1
ENSMUSG00000106328	15	89162848	89162908	miRNA	Mir7118	-1
ENSMUSG00000084445	5	99870248	99870323	snoRNA	Gm26252	1
ENSMUSG00000064971	7	116952589	116952695	snRNA	Gm26054	-1
ENSMUSG00000098662	10	92133222	92133347	misc_RNA	Gm27582	-1
ENSMUSG00000088021	9	67104208	67104355	snRNA	Gm22145	1
ENSMUSG00000075006	2	104068047	104068550	protein_coding	Gm10799	-1
ENSMUSG00000084640	3	107415863	107416195	misc_RNA	Gm24383	-1
ENSMUSG00000093064	1	190482845	190483157	misc_RNA	Gm23153	-1
ENSMUSG00000077799	13	56167600	56167722	snoRNA	Gm25148	1
ENSMUSG00000088616	X	98814775	98814881	snRNA	Gm26000	1
ENSMUSG00000087891	10	42493423	42493746	misc_RNA	Gm25277	-1
ENSMUSG00000077941	2	10514891	10514971	miRNA	Mir466h	1
ENSMUSG00000084650	6	19046837	19047151	misc_RNA	Gm22718	1
ENSMUSG00000065397	16	84714140	84714204	miRNA	Mir155	1
ENSMUSG00000079800	GL456210.1	9124	58882	protein_coding	AC125149.3	-1
ENSMUSG00000067085	19	53371566	53371766	protein_coding	Gm10197	-1
ENSMUSG00000076335	2	94261300	94261399	miRNA	Mir670	-1
ENSMUSG00000088338	4	34683879	34684185	misc_RNA	Gm22849	1
ENSMUSG00000104953	9	64726624	64726730	miRNA	Gm47308	-1
ENSMUSG00000087859	1	135353717	135353822	snRNA	Gm22796	-1
ENSMUSG00000077996	3	90070020	90070099	miRNA	Mir190b	1
ENSMUSG00000065594	19	34820687	34820773	miRNA	Mir107	-1
ENSMUSG00000068181	6	95322112	95322210	protein_coding	Gm10234	1
ENSMUSG00000065758	X	86406128	86406246	rRNA	n-R5s10	-1
ENSMUSG00000088591	17	94764825	94764931	rRNA	Gm23964	1
ENSMUSG00000098361	9	45266643	45266707	miRNA	Mir7086	-1
ENSMUSG00000077350	16	16010900	16011009	rRNA	n-R5s31	-1
ENSMUSG00000099160	5	92458557	92458656	miRNA	Mir6415	1
ENSMUSG00000094247	2	160624468	160624592	miRNA	Gm23968	1
ENSMUSG00000065593	5	139369650	139369745	miRNA	Mir339	-1
ENSMUSG00000098817	10	76008926	76009017	miRNA	Mir6409	1
ENSMUSG00000071586	15	102503722	102503886	protein_coding	Gm10337	1
ENSMUSG00000064685	X	22434414	22434516	snRNA	Gm25812	1
ENSMUSG00000095631	9	74059339	74059457	rRNA	n-R5s86	1
ENSMUSG00000095998	7	14912358	14912462	snRNA	Gm24701	1
ENSMUSG00000095122	16	3249584	3249704	miRNA	Gm23215	1
ENSMUSG00000080394	X	162748554	162748674	snoRNA	Gm23786	1
ENSMUSG00000065297	8	65902057	65902191	snoRNA	Gm26123	1
ENSMUSG00000088901	15	79375228	79375300	miRNA	Mir1943	-1
ENSMUSG00000090592	9	13444034	13446753	protein_coding	Gm17571	-1
ENSMUSG00000088822	12	78752687	78752788	snRNA	Gm25225	-1
ENSMUSG00000105211	1	45311673	45311813	miRNA	Gm47302	1
ENSMUSG00000064595	4	56913642	56913767	snoRNA	Gm22300	1
ENSMUSG00000065542	X	72261031	72261112	miRNA	Mir224	-1
ENSMUSG00000064928	15	96671793	96671900	snRNA	Gm22045	1
ENSMUSG00000095616	18	10150977	10151140	snRNA	Gm26244	-1
ENSMUSG00000104896	11	87462286	87462501	snoRNA	Rnu3b4	1
ENSMUSG00000096170	8	123616810	123616928	rRNA	n-R5s146	-1
ENSMUSG00000080574	13	17747473	17747593	miRNA	Mir466i	1
ENSMUSG00000098459	2	105125222	105125454	misc_RNA	Gm27308	-1
ENSMUSG00000064679	12	109657125	109657196	snoRNA	Gm25357	1
ENSMUSG00000096923	11	6200029	6201643	protein_coding	A730071L15Rik	1
ENSMUSG00000076294	4	98661637	98661732	miRNA	Gm26154	1
ENSMUSG00000064653	13	14087439	14087545	snRNA	Gm26129	1
ENSMUSG00000089408	2	107097206	107097475	ribozyme	Gm24885	-1
ENSMUSG00000105468	10	60126776	60126833	miRNA	Mir6906	1
ENSMUSG00000088803	15	11965330	11965589	misc_RNA	Gm24074	1
ENSMUSG00000093344	5	141080431	141080509	miRNA	Gm26113	1
ENSMUSG00000084574	2	74935415	74935514	rRNA	n-R5s198	-1
ENSMUSG00000076142	9	108969922	108970003	miRNA	Mir711	1
ENSMUSG00000092638	18	82720281	82720340	miRNA	Mir5112	1
ENSMUSG00000077562	17	59569559	59569665	snRNA	Gm23203	-1
ENSMUSG00000080380	X	106697078	106697198	miRNA	Gm22102	1
ENSMUSG00000065450	X	147158210	147158321	miRNA	Mir448	1
ENSMUSG00000089129	18	12961499	12961805	misc_RNA	Gm26407	1
ENSMUSG00000105790	5	149247950	149248027	miRNA	Gm24105	-1
ENSMUSG00000088185	3	108554338	108554751	scaRNA	Scarna2	-1
ENSMUSG00000096030	14	54449958	54450064	snRNA	Gm24424	-1
ENSMUSG00000099208	1	195240910	195241007	misc_RNA	Gm27940	-1
ENSMUSG00000080517	11	29334934	29335059	snRNA	Gm23109	1
ENSMUSG00000064672	13	51648199	51648334	snoRNA	Gm22806	1
ENSMUSG00000080562	13	5821768	5821858	miRNA	Gm26043	-1
ENSMUSG00000098938	15	87795850	87795943	miRNA	Mir6393	-1
ENSMUSG00000078590	3	122913070	122919360	protein_coding	Gm10959	-1
ENSMUSG00000025226	19	46328184	46330446	protein_coding	Fbxl15	1
ENSMUSG00000095685	18	31389994	31390103	miRNA	Gm23283	-1
ENSMUSG00000105924	13	23574716	23574853	miRNA	Gm44359	-1
ENSMUSG00000080590	3	55162314	55162434	miRNA	Gm22029	-1
ENSMUSG00000094968	1	47749279	47749399	miRNA	Gm22419	-1
ENSMUSG00000106489	1	127331813	127331941	scaRNA	Gm23370	1
ENSMUSG00000094507	Y	74623896	74624978	protein_coding	Gm21913	1
ENSMUSG00000089418	1	141314355	141314468	misc_RNA	Gm22016	1
ENSMUSG00000094481	15	52499656	52499787	snoRNA	Gm23267	1
ENSMUSG00000098483	8	117459265	117459328	miRNA	Mir7078	1
ENSMUSG00000088870	2	148624711	148624822	snoRNA	Gm25866	1
ENSMUSG00000087772	14	68166953	68167074	snoRNA	Gm22319	-1
ENSMUSG00000065428	12	109733771	109733846	miRNA	Mir382	1
ENSMUSG00000088715	1	137734318	137734433	snoRNA	Gm22727	1
ENSMUSG00000098718	19	16314892	16315004	miRNA	Mir496b	-1
ENSMUSG00000093999	6	95100201	95100307	snRNA	Gm26501	-1
ENSMUSG00000077161	4	62812428	62812560	snoRNA	Gm24117	1
ENSMUSG00000093138	2	33362994	33363046	miRNA	Gm25998	-1
ENSMUSG00000077418	4	53905696	53905820	snoRNA	Gm23745	1
ENSMUSG00000098974	19	5844638	5844747	misc_RNA	Gm27505	-1
ENSMUSG00000095129	15	72255350	72255456	snRNA	Gm23217	-1
ENSMUSG00000088559	1	184822407	184822488	miRNA	Mir1981	-1
ENSMUSG00000095699	2	10512203	10512299	miRNA	Gm26092	1
ENSMUSG00000088258	8	113528510	113528671	snRNA	Gm24291	-1
ENSMUSG00000092835	13	41577909	41578074	snRNA	Gm24819	-1
ENSMUSG00000098297	18	37990887	37990945	miRNA	Mir6980	-1
ENSMUSG00000093083	11	117085836	117085912	miRNA	Gm24323	1
ENSMUSG00000088839	X	101005896	101005959	snRNA	Gm27510	1
ENSMUSG00000095434	GL456385.1	31243	31343	miRNA	CAAA01205117.2	1
ENSMUSG00000093079	6	118429170	118429252	miRNA	Gm25953	1
ENSMUSG00000096349	12	54696782	54696945	snRNA	Gm22513	1
ENSMUSG00000094598	3	16013818	16013927	miRNA	Gm24694	1
ENSMUSG00000089455	14	108622543	108622660	snoRNA	Gm24229	1
ENSMUSG00000098331	8	84867947	84868008	miRNA	Mir7069	1
ENSMUSG00000095311	14	122388054	122388160	snRNA	Gm25464	-1
ENSMUSG00000091604	15	99702176	99705490	protein_coding	Gm17349	-1
ENSMUSG00000076039	16	8623163	8623270	miRNA	Gm22137	-1
ENSMUSG00000095842	15	12695124	12695224	miRNA	Gm24302	1
ENSMUSG00000096713	4	62264314	62264420	snRNA	Gm23148	1
ENSMUSG00000098267	7	127489251	127489387	miRNA	Mir7060	1
ENSMUSG00000075864	8	128650997	128651103	snRNA	Gm26002	1
ENSMUSG00000065515	11	96850393	96850465	miRNA	Mir152	1
ENSMUSG00000087844	4	48213119	48213215	miRNA	Mir1958	-1
ENSMUSG00000088913	11	76974086	76974235	snRNA	Gm22611	1
ENSMUSG00000088329	8	69399725	69400020	ribozyme	Gm25661	1
ENSMUSG00000098251	9	94751829	94751890	miRNA	Mir7656	1
ENSMUSG00000098473	9	21809941	21810000	miRNA	Mir7083	-1
ENSMUSG00000092840	13	84182278	84182344	miRNA	Gm24331	1
ENSMUSG00000088083	16	47758440	47758671	misc_RNA	Gm25339	1
ENSMUSG00000098722	15	82407094	82407153	miRNA	Gm27331	-1
ENSMUSG00000104582	12	109711803	109711863	miRNA	Mir380	1
ENSMUSG00000095604	18	36810891	36811000	miRNA	Gm23424	1
ENSMUSG00000088465	10	107136974	107137058	snoRNA	Gm24745	1
ENSMUSG00000088643	6	29487717	29487822	snRNA	Gm26484	-1
ENSMUSG00000088245	6	67897065	67897204	snoRNA	Gm25910	-1
ENSMUSG00000095776	12	69561229	69561337	miRNA	Gm23018	-1
ENSMUSG00000087879	18	26928102	26928329	ribozyme	Gm26106	-1
ENSMUSG00000095006	X	66832517	66832597	miRNA	Mir465c-2	-1
ENSMUSG00000099289	4	134567723	134567851	miRNA	Mir6403	-1
ENSMUSG00000095938	2	10477710	10477836	miRNA	Gm25701	1
ENSMUSG00000084531	1	50559762	50560075	misc_RNA	Gm25843	1
ENSMUSG00000089168	15	102456563	102456661	snRNA	Gm24128	1
ENSMUSG00000089116	9	104481368	104481510	snoRNA	Gm25904	-1
ENSMUSG00000104996	11	69882032	69882094	miRNA	Mir6924	-1
ENSMUSG00000092004	6	115227343	115259294	protein_coding	Gm17482	1
ENSMUSG00000095985	Y	54928997	54929104	rRNA	Gm23052	-1
ENSMUSG00000088230	11	86333206	86333308	misc_RNA	Gm25427	1
ENSMUSG00000098871	3	142623860	142623946	miRNA	Mir6381	-1
ENSMUSG00000089277	9	18679128	18679229	snRNA	Gm24546	1
ENSMUSG00000088198	10	51888625	51888752	snoRNA	Gm23906	1
ENSMUSG00000088435	13	79161719	79161862	snoRNA	Gm25383	1
ENSMUSG00000098663	15	89185465	89185537	miRNA	Mir6958	-1
ENSMUSG00000077287	8	18613981	18614109	snoRNA	Gm25763	-1
ENSMUSG00000088103	5	8242723	8242866	snoRNA	Gm23993	1
ENSMUSG00000096604	7	59801956	59802049	snoRNA	Gm26201	-1
ENSMUSG00000077567	15	53613067	53613198	snoRNA	Gm23200	-1
ENSMUSG00000088332	5	34530649	34530753	snRNA	Gm22847	1
ENSMUSG00000094603	17	7704840	7704939	miRNA	Gm25872	1
ENSMUSG00000098890	3	31038966	31039028	miRNA	Mir7008	1
ENSMUSG00000099278	GL456239.1	38438	38535	miRNA	CR524822.1	1
ENSMUSG00000099314	16	13819232	13819320	miRNA	Gm27734	1
ENSMUSG00000094458	7	59533386	59533464	snoRNA	Gm22627	-1
ENSMUSG00000088525	19	47710866	47710981	snoRNA	Gm26085	1
ENSMUSG00000092685	8	44547974	44548074	miRNA	Gm26241	-1
ENSMUSG00000065794	2	116968039	116968173	snRNA	Gm25514	-1
ENSMUSG00000092641	11	102458724	102458974	misc_RNA	Gm23563	-1
ENSMUSG00000095539	10	100144254	100144363	miRNA	Gm25287	1
ENSMUSG00000095894	16	39455015	39455135	miRNA	Gm24795	1
ENSMUSG00000084568	12	96255941	96256237	misc_RNA	Gm26480	-1
ENSMUSG00000089539	8	97222534	97222635	snRNA	Gm25160	1
ENSMUSG00000064433	1	29280964	29281075	misc_RNA	Gm25586	-1
ENSMUSG00000096736	9	3034599	3035805	protein_coding	Gm17535	1
ENSMUSG00000092876	3	88215589	88215696	miRNA	Gm25641	-1
ENSMUSG00000089178	16	65170041	65170170	snoRNA	Gm22429	-1
ENSMUSG00000089493	3	95796699	95796884	snRNA	Gm26361	-1
ENSMUSG00000095511	7	59610133	59610211	snoRNA	Gm24137	-1
ENSMUSG00000089130	14	96945019	96945110	snoRNA	Gm24770	1
ENSMUSG00000089480	2	126269072	126269363	misc_RNA	Gm24739	-1
ENSMUSG00000065090	8	115591170	115591273	snRNA	Gm23677	-1
ENSMUSG00000092710	8	47440418	47440551	snoRNA	Gm22857	1
ENSMUSG00000092812	4	134468364	134468454	miRNA	Gm23634	1
ENSMUSG00000089269	3	149340903	149341008	snRNA	Gm26468	-1
ENSMUSG00000089387	18	66549935	66550045	snoRNA	Gm24679	-1
ENSMUSG00000065853	14	52069300	52069369	snoRNA	Gm22354	1
ENSMUSG00000088062	15	33589606	33589736	rRNA	Gm24476	-1
ENSMUSG00000096392	7	59570835	59570913	snoRNA	Gm23688	-1
ENSMUSG00000065698	7	99653688	99653818	snoRNA	Gm25409	-1
ENSMUSG00000064867	3	86384247	86384353	snRNA	Gm25039	1
ENSMUSG00000065270	3	149028932	149029038	snRNA	Gm25127	1
ENSMUSG00000087880	5	68566170	68566296	snoRNA	Gm23605	-1
ENSMUSG00000098368	1	90327312	90327418	rRNA	Gm27648	1
ENSMUSG00000092760	6	113528550	113528674	miRNA	Gm23365	-1
ENSMUSG00000094523	10	96164331	96164431	miRNA	Gm22913	1
ENSMUSG00000067929	17	21691860	21692114	protein_coding	Gm10226	1
ENSMUSG00000076327	6	128094917	128095026	miRNA	Gm26338	-1
ENSMUSG00000076231	2	156322552	156322647	miRNA	Gm22759	1
ENSMUSG00000096313	7	59881989	59882082	snoRNA	Snord116l7	-1
ENSMUSG00000088510	1	102413923	102414021	snoRNA	Gm23036	-1
ENSMUSG00000093495	7	30100840	30100935	miRNA	Gm23368	-1
ENSMUSG00000098976	8	71631047	71631106	miRNA	Mir6769b	-1
ENSMUSG00000088858	1	20842535	20842666	snoRNA	Gm24723	-1
ENSMUSG00000064658	9	44736813	44736947	snoRNA	Gm24166	-1
ENSMUSG00000099151	7	143273566	143273684	misc_RNA	Gm27803	1
ENSMUSG00000098460	17	34845101	34845167	miRNA	Mir6970	-1
ENSMUSG00000092661	4	82061112	82061221	miRNA	Gm22402	-1
ENSMUSG00000084575	X	105873824	105873935	snRNA	Gm23656	1
ENSMUSG00000092961	2	10510461	10510563	miRNA	Gm22239	1
ENSMUSG00000096812	7	59582063	59582140	snoRNA	Gm25087	-1
ENSMUSG00000099320	2	25059811	25059873	miRNA	Mir7664	1
ENSMUSG00000098365	14	67074830	67074947	miRNA	Gm27647	1
ENSMUSG00000094751	8	123565969	123566087	rRNA	Gm25018	-1
ENSMUSG00000088629	8	46107259	46107531	misc_RNA	Gm23030	1
ENSMUSG00000088677	4	94487883	94487983	snoRNA	Gm22804	1
ENSMUSG00000089489	1	32568359	32568421	snRNA	Gm24732	-1
ENSMUSG00000088793	9	44476416	44476532	snRNA	Gm22540	-1
ENSMUSG00000076951	7	107319654	107319763	miRNA	Gm24932	-1
ENSMUSG00000106488	2	10501339	10501425	miRNA	Mir669a-11	1
ENSMUSG00000099264	10	104287269	104287376	miRNA	Mir6411	1
ENSMUSG00000065540	2	26591357	26591429	miRNA	Mir126a	1
ENSMUSG00000064403	7	91667149	91667293	snRNA	Gm23928	-1
ENSMUSG00000105799	2	26591363	26591420	miRNA	Mir126b	-1
ENSMUSG00000064510	3	157365998	157366104	snRNA	Gm22458	1
ENSMUSG00000099092	7	139986809	139986874	miRNA	Mir7062	-1
ENSMUSG00000070166	12	21287927	21288059	snoRNA	Gm25821	1
ENSMUSG00000076065	12	69763835	69763944	miRNA	Mir681	-1
ENSMUSG00000098869	3	72312941	72313031	misc_RNA	Gm27465	1
ENSMUSG00000075770	17	35242678	35242754	snoRNA	Gm22589	1
ENSMUSG00000076232	11	70762140	70762232	miRNA	Gm22760	-1
ENSMUSG00000089383	6	130081419	130081493	snRNA	Gm24676	1
ENSMUSG00000089513	2	25031350	25031453	snRNA	Gm24875	-1
ENSMUSG00000098960	7	47083166	47083224	miRNA	Mir7056	-1
ENSMUSG00000089405	14	75745849	75745940	rRNA	Gm24876	-1
ENSMUSG00000088897	15	62793201	62793334	snoRNA	Gm22521	1
ENSMUSG00000092994	19	37179186	37179291	rRNA	Gm23918	1
ENSMUSG00000087947	7	88087188	88087251	snRNA	Gm24249	-1
ENSMUSG00000094980	6	78911167	78911330	snRNA	Gm23727	1
ENSMUSG00000095722	6	18727292	18727398	snRNA	Gm23648	1
ENSMUSG00000064477	X	156455999	156456095	snoRNA	Gm23404	-1
ENSMUSG00000096406	8	123598158	123598276	rRNA	Rn5s	-1
ENSMUSG00000099202	4	133195655	133195716	miRNA	Mir7017	1
ENSMUSG00000105122	X	27598618	27598703	miRNA	Gm44407	1
ENSMUSG00000077212	14	31014287	31014366	snoRNA	Snord69	-1
ENSMUSG00000080653	2	10467495	10467613	miRNA	Mir669e	1
ENSMUSG00000089484	8	22822428	22822545	snRNA	Gm24735	-1
ENSMUSG00000101392	9	83938369	83938475	snRNA	Gm29163	-1
ENSMUSG00000092816	18	9827026	9827119	miRNA	Gm23637	-1
ENSMUSG00000087752	3	138343138	138343296	snRNA	Gm23467	1
ENSMUSG00000098262	X	103480946	103481026	misc_RNA	Gm27520	1
ENSMUSG00000064691	11	109066984	109067090	snRNA	Gm24149	-1
ENSMUSG00000084598	X	162305029	162305302	misc_RNA	Gm23867	-1
ENSMUSG00000065346	9	95624502	95624611	snoRNA	Gm25582	1
ENSMUSG00000065367	8	27421324	27421430	snRNA	Gm24410	-1
ENSMUSG00000064837	1	86351169	86351301	snoRNA	Snora75	-1
ENSMUSG00000095027	13	50262394	50262502	miRNA	Gm24017	1
ENSMUSG00000094605	16	43126233	43126339	snRNA	Gm25873	1
ENSMUSG00000104666	X	27493556	27493641	miRNA	Gm44452	1
ENSMUSG00000094895	9	47525616	47525722	snRNA	Gm22286	-1
ENSMUSG00000088766	14	36612117	36612239	snoRNA	Gm24394	1
ENSMUSG00000089520	3	39799632	39799716	snoRNA	Gm23831	-1
ENSMUSG00000088576	17	43961556	43961841	misc_RNA	Gm24532	-1
ENSMUSG00000065079	3	90560556	90560702	snRNA	Gm23464	-1
ENSMUSG00000070129	12	109595318	109595397	miRNA	Mir3071	-1
ENSMUSG00000080594	2	10518155	10518279	miRNA	Mir669h	1
ENSMUSG00000077559	3	33959069	33959200	snoRNA	Gm23175	-1
ENSMUSG00000095070	16	84294535	84294641	snRNA	Gm24508	1
ENSMUSG00000076217	6	120034228	120034311	miRNA	Mir706	-1
ENSMUSG00000065825	X	11850484	11850590	snRNA	Gm26314	1
ENSMUSG00000088639	2	92191977	92192074	miRNA	Mir1955	1
ENSMUSG00000096357	10	117662282	117662388	snRNA	Gm25709	-1
ENSMUSG00000064626	2	37282051	37282157	snRNA	Gm22306	1
ENSMUSG00000089544	11	115253278	115253385	miRNA	Gm25837	1
ENSMUSG00000077312	4	73589082	73589214	snoRNA	Gm24170	-1
